model consumption,emissions,energylabel
Opel Astra,1.7,CDTI,Start,&,Stop,110,Cv,M6,4.2,110,B
Opel Astra,1.7,CDTI,Start,&,Stop,130,Cv,M6,4.2,110,B
Opel Astra,1.7,EoFlex,Start,&,Stop,130,Cv,M6,3.7,99,A
Opel Astra,2.0,CDTI,165,Cv,A6,5.6,148,D
Opel Astra,2.0,CDTI,Start,&,Stop,165,Cv,M6,4.5,119,B
Opel Astra,2.0,CDTI,Start,&,Stop,195,Cv,M6,5.1,134,C
Opel Astra,GTC,"1.4,Turbo,Start,&,Stop,140,Cv,M6,6,142,B
Opel Astra,GTC,"1.6,CDTI,Start,&,Stop,136,Cv,M6,4.4,115,B
Opel Astra,GTC,"1.6,Turbo,180,Cv,M6,7.2,169,D
Opel Astra,GTC,"1.6,Turbo,Start,&,Stop,170,Cv,M6,6.1,144,B
Opel Astra,GTC,"1.7,CDTI,Start,&,Stop,130,Cv,M6,4.4,116,B
Opel Astra,GTC,"2.0,CDTI,165,Cv,A6,5.7,150,D
Opel Astra,GTC,"2.0,CDTI,Start,&,Stop,165,Cv,M6,4.7,125,B
Opel Astra,GTC,1.4,Turbo,140,Cv,A6,6.6,154,C
Opel Astra,GTC,1.4,Turbo,Start,&,Stop,140,Cv,M6,5.9,139,B
Opel Astra,GTC,1.6,CDTI,Start,&,Stop,136,Cv,M6,4.1,109,A
Opel Astra,GTC,1.6,Turbo,180,Cv,M6,7.2,168,D
Opel Astra,GTC,1.6,Turbo,Start,&,Stop,200,Cv,M6,6.3,149,C
Opel Astra,GTC,1.6,Turbo,Start,&,Stop,200,Cv,M6,6.7,154,C
Opel Astra,GTC,1.6,Turbo,Start,&,Stop,170,Cv,M6,6.1,143,B
Opel Astra,GTC,1.7,CDTI,Start,&,Stop,130,Cv,M6,4.3,114,B
Opel Astra,GTC,2.0,CDTI,165,Cv,A6,5.6,149,D
Opel Astra,GTC,2.0,CDTI,Start,&,Stop,165,Cv,M6,4.7,124,B
Opel Astra,GTC,2.0,CDTI,Start,&,Stop,195,Cv,M6,4.9,129,C
Opel Astra,GTC,2.0,Turbo,Start,&,Stop,280,Cv,M6,OPC7.8,184,E
Opel Astra,GTC,MY10,1.3,CDTI,90,Cv,M6,4.9,130,D
Opel Astra,GTC,MY10,1.4,16v,90,Cv,M5,6.1,146,C
Opel Astra,GTC,MY10,1.6,115,Cv,M5,6.5,155,D
Opel Astra,GTC,MY10,1.6,115,Cv,M5,,6.6,158,D
Opel Astra,GTC,MY10,1.6,16v,115,Cv,MTA6.3,151,D
Opel Astra,GTC,MY10,1.6,16v,115,Cv,MTA,,6.4,153,D
Opel Astra,GTC,MY10,1.8,16,v,140,Cv,M5,7.1,169,E
Opel Astra,GTC,MY10,1.8,16,v,140,Cv,M5,,7.2,172,E
Opel Astra,GTC,MY10,1.9,CDTI,120,Cv,M6,5.6,149,E
Opel Astra,GTC,MY10,1.9,CDTI,150,Cv,M6,5.6,149,E
Opel Astra,GTC,MY10,2.0,Turbo,240,Cv,M6,9.2,221,G
Opel ASTRA,GTC,MY10'5,1.6,115cv,M5,6.2,146,C
Opel Astra,GTC,MY12,"1.4,Turbo,Start,&,Stop,140,Cv,M6,6.1,142,B
Opel Astra,GTC,MY12,"1.7,CDTI,Start,&,Stop,130,Cv,M6,4.6,122,B
Opel Astra,GTC,MY12,1.4,Turbo,Start,&,Stop,140,Cv,M6,6,140,B
Opel Astra,GTC,MY12,1.7,CDTI,Start,&,Stop,130,Cv,M6,4.5,119,B
Opel Astra,GTC,MY13,"2.0,CDTI,165,Cv,A6,,5.8,152,D
Opel Astra,GTC,MY13,2.0,CDTI,165,Cv,A6,5.7,151,D
Opel Astra,GTC,MY14,"2.0,CDTI,Start,&,Stop,165,Cv,M6,4.9,129,C
Opel Astra,GTC,MY14,2.0,CDTI,Start,&,Stop,165,Cv,M6,4.8,127,C
Opel Astra,GTC,MY14'5,1.6,Turbo,Start,&,Stop,200,Cv,M6,6.6,154,C
Opel Astra,GTC,MY14'5,1.6,Turbo,Start,&,Stop,200,Cv,M6,(,6.7,156,C
Opel Astra,GTC,MY14'5,2.0,Turbo,Start,&,Stop,280,Cv,M6,OPC8.1,189,E
Opel Astra,GTC,MY17'5,1.6,Turbo,Start,&,Stop,200,Cv,M6,6.3,149,C
Opel Astra,GTC,MY17´5,1.4,Turbo,Start,&,Stop,140,Cv,M6,6.1,144,B
Opel Astra,MY11,"1.7,CDTI,110,Cv,M6,,4.6,121,B
Opel Astra,MY11,"1.7,CDTI,125,Cv,M6,,4.6,121,B
Opel Astra,MY11,"2.0,CDTI,160,Cv,A6,,5.9,155,E
Opel Astra,MY11,"2.0,CDTI,160cv,M6,,4.9,130,C
Opel Astra,MY11,1.7,CDTI,110,Cv,M6,4.5,119,B
Opel Astra,MY11,1.7,CDTI,125,Cv,M6,4.5,119,B
Opel Astra,MY11,2.0,CDTI,160,Cv,A6,5.8,154,E
Opel Astra,MY11,2.0,CDTI,160cv,4.9,129,C
Opel Astra,MY12,"1.4,Turbo,140,Cv,M6,,5.9,139,B
Opel Astra,MY12,"1.7,CDTI,110,Cv,M6,,4.6,121,B
Opel Astra,MY12,"1.7,CDTI,125,Cv,M6,,4.6,121,B
Opel Astra,MY12,"1.7,CDTI,Start,&,Stop,130,Cv,M6,,4.4,117,B
Opel Astra,MY12,1.4,Turbo,140,Cv,A6,6.7,157,C
Opel Astra,MY12,1.4,Turbo,GLP,140,Cv,M6,14.77,129,NA
Opel Astra,MY12,1.6,115,Cv,M5,6.3,147,C
Opel Astra,MY12,1.7,CDTI,110,Cv,M6,4.5,119,B
Opel Astra,MY12,1.7,CDTI,125,Cv,M6,4.5,119,B
Opel Astra,MY12,1.7,CDTI,Start,&,Stop,110,Cv,M6,4.3,114,B
Opel Astra,MY12,1.7,CDTI,Start,&,Stop,130,Cv,M6,4.3,114,B
Opel Astra,MY13,1.4,Turbo,140,Cv,M6,5.9,138,B
Opel Astra,MY14,"1.4,Turbo,140,Cv,A6,,6.8,159,C
Opel Astra,MY14,"1.4,Turbo,140,Cv,M6,,6.1,143,C
Opel Astra,MY14,"2.0,CDTI,165,Cv,A6,,6,158,E
Opel Astra,MY14,1.4,Turbo,140,Cv,A6,6.6,154,C
Opel Astra,MY14,1.4,Turbo,140,Cv,M6,5.8,137,B
Opel Astra,MY14,1.4,Turbo,GLP,140,Cv,M6,8.41,129,NA
Opel Astra,MY14,2.0,CDTI,165,Cv,A6,5.8,154,E
Opel Astra,MY14''5,1.4,Turbo,140,Cv,A6,6.3,149,C
Opel Astra,MY14''5,1.4,Turbo,140,Cv,A6,,6.6,155,C
Opel Astra,MY15,"1.4,Turbo,140,Cv,A6,,6.6,154,C
Opel Astra,MY15,"1.4,Turbo,140,Cv,M6,,6,140,B
Opel Astra,MY15,"1.6,CDTI,Start,&,Stop,110,Cv,M6,,3.8,100,A
Opel Astra,MY15,"1.6,CDTI,Start,&,Stop,136,Cv,M6,,4.2,110,B
Opel Astra,MY15,1.4,Turbo,140,Cv,A6,6.3,148,C
